Scenario_ID,Scenario_Name,Method,Avg_Reward,Reward_vs_Proposed_pct,Avg_Delay_ms,Avg_PDR_pct,Avg_Signal,Avg_Energy,Avg_Reliability,Delay_Violation_Rate_pct,PDR_Violation_Rate_pct,Energy_Violation_Rate_pct,Signal_Violation_Rate_pct,Out_Of_Range_Rate_pct,High_Latency_Risk_pct,Weak_Signal_Risk_pct,Low_Reliability_Risk_pct,Decision_Points,Focus
urban_canyon,Urban Canyon,Random,30.04,-77.43,89.12,50.14,0.0959,10.4,-5.78,70.13,98.89,98.35,84.36,84.36,77.99,84.36,83.62,20000,collision_avoidance
suburban_crossroads,Suburban Crossroads,Random,20.35,-74.38,93.94,50.02,0.0825,10.19,-8.44,82.26,99.86,99.18,86.73,86.73,86.71,86.73,88.2,15000,energy_efficiency
emergency_response,Emergency Response,Random,29.36,-71.62,87.05,50.01,0.084,10.16,-5.61,49.65,99.93,99.36,83.36,83.35,75.71,83.36,80.19,11670,dynamic_adaptation
urban_canyon,Urban Canyon,Nearest UAV,132.97,-0.09,48.05,51.1,0.3632,10.43,24.49,0.44,91.13,98.28,14.52,14.52,4.64,14.52,12.86,20000,collision_avoidance
suburban_crossroads,Suburban Crossroads,Nearest UAV,79.15,-0.35,70.02,50.14,0.235,10.16,8.81,24.45,98.89,99.24,36.75,36.74,36.81,36.75,41.19,15000,energy_efficiency
emergency_response,Emergency Response,Nearest UAV,103.3,-0.13,54.98,50.07,0.2657,10.16,16.33,0.2,99.42,99.36,12.18,12.18,9.71,12.18,14.81,11670,dynamic_adaptation
urban_canyon,Urban Canyon,Strongest Signal,128.8,-3.23,51.22,51.1,0.3632,10.4,23.22,14.04,91.13,98.38,14.52,14.52,14.06,14.52,14.44,20000,collision_avoidance
suburban_crossroads,Suburban Crossroads,Strongest Signal,77.15,-2.87,71.59,50.14,0.235,10.19,8.18,35.61,98.89,99.17,36.75,36.75,38.23,36.75,41.22,15000,energy_efficiency
emergency_response,Emergency Response,Strongest Signal,101.13,-2.24,56.79,50.07,0.2657,10.17,15.6,3.64,99.42,99.33,12.18,12.18,13.14,12.18,19.68,11670,dynamic_adaptation
urban_canyon,Urban Canyon,Energy-Aware Greedy,132.5,-0.45,48.3,51.08,0.3611,10.48,24.27,0.64,91.32,98.12,15.04,15.04,5.03,15.04,13.4,20000,collision_avoidance
suburban_crossroads,Suburban Crossroads,Energy-Aware Greedy,79.17,-0.32,70.15,50.14,0.2342,10.24,8.72,24.74,98.89,99.04,37.07,37.06,37.11,37.07,41.49,15000,energy_efficiency
emergency_response,Emergency Response,Energy-Aware Greedy,103.01,-0.41,55.15,50.07,0.2643,10.19,16.19,0.21,99.42,99.28,12.52,12.52,9.83,12.52,15.19,11670,dynamic_adaptation
urban_canyon,Urban Canyon,Reward-Aware Proposed,133.1,0.0,48.01,51.1,0.363,10.45,24.5,0.5,91.13,98.24,14.63,14.63,4.58,14.63,12.86,20000,collision_avoidance
suburban_crossroads,Suburban Crossroads,Reward-Aware Proposed,79.43,0.0,69.97,50.14,0.2348,10.22,8.82,24.44,98.89,99.09,36.83,36.82,36.77,36.83,41.13,15000,energy_efficiency
emergency_response,Emergency Response,Reward-Aware Proposed,103.44,0.0,54.86,50.07,0.2655,10.16,16.37,0.09,99.42,99.35,12.18,12.18,9.44,12.18,14.65,11670,dynamic_adaptation
