Scenario_ID,Scenario_Name,Method,Avg_Reward_Per_Step,Avg_Episode_Reward,Std_Episode_Reward,Reward_vs_Proposed_pct,Avg_Delay_ms,Avg_PDR_pct,Avg_Signal,Avg_Energy,Avg_Reliability,Out_Of_Range_Rate_pct,High_Latency_Risk_pct,Weak_Signal_Risk_pct,Low_Reliability_Risk_pct,Episodes,Decision_Points,Focus
urban_canyon,Urban Canyon,Random,93.96,4698.03,2024.61,652.28,80.35,50.53,0.1144,29.96,-1.15,75.0,64.2,75.0,69.2,20,1000,collision_avoidance
urban_canyon,Urban Canyon,Nearest UAV,60.12,3005.77,3636.9,381.31,80.22,50.41,0.1117,25.23,-1.3,71.6,64.0,71.6,67.7,20,1000,collision_avoidance
urban_canyon,Urban Canyon,Strongest Signal,99.3,4964.78,2015.22,695.0,77.1,50.41,0.1114,30.03,-0.07,72.1,55.5,72.1,61.8,20,1000,collision_avoidance
urban_canyon,Urban Canyon,Energy-Aware Greedy,13.33,666.51,6152.59,6.73,80.54,50.41,0.1103,20.2,-1.5,69.9,65.7,69.9,66.7,20,1000,collision_avoidance
urban_canyon,Urban Canyon,Reward-Aware Proposed,12.49,624.5,6100.1,0.0,80.77,50.41,0.1183,20.36,-1.19,69.9,67.2,69.9,68.7,20,1000,collision_avoidance
urban_canyon,Urban Canyon,Trained PPO Model,108.26,5412.92,2124.29,766.76,75.14,50.82,0.1285,30.62,1.78,70.9,52.9,70.9,60.8,20,1000,collision_avoidance
suburban_crossroads,Suburban Crossroads,Random,93.05,4652.62,1977.77,523.66,80.68,50.51,0.1098,30.04,-1.53,76.2,63.6,76.2,69.8,20,1000,energy_efficiency
suburban_crossroads,Suburban Crossroads,Nearest UAV,54.72,2736.16,3532.51,266.77,79.95,50.39,0.1108,25.13,-1.24,71.8,63.2,71.8,67.1,20,1000,energy_efficiency
suburban_crossroads,Suburban Crossroads,Strongest Signal,90.86,4542.87,2381.55,508.95,77.19,50.39,0.1106,29.57,-0.15,72.3,55.4,72.3,62.0,20,1000,energy_efficiency
suburban_crossroads,Suburban Crossroads,Energy-Aware Greedy,12.98,649.15,6062.38,-12.98,81.28,50.39,0.11,20.36,-1.81,71.0,67.1,71.0,68.5,20,1000,energy_efficiency
suburban_crossroads,Suburban Crossroads,Reward-Aware Proposed,14.92,746.02,5949.04,0.0,82.71,50.39,0.1086,21.31,-2.46,72.7,70.1,72.7,71.8,20,1000,energy_efficiency
suburban_crossroads,Suburban Crossroads,Trained PPO Model,107.09,5354.74,2140.76,617.78,76.06,50.78,0.1261,30.83,1.27,73.2,54.1,73.2,62.9,20,1000,energy_efficiency
emergency_response,Emergency Response,Random,95.27,4763.35,1950.6,537.23,80.25,50.51,0.1104,29.9,-1.32,74.5,62.4,74.5,69.1,20,1000,dynamic_adaptation
emergency_response,Emergency Response,Nearest UAV,52.41,2620.33,3523.23,250.54,78.15,50.39,0.1225,24.22,0.06,69.0,60.3,69.0,64.8,20,1000,dynamic_adaptation
emergency_response,Emergency Response,Strongest Signal,87.75,4387.52,2555.36,486.95,75.88,50.39,0.122,28.72,0.94,69.8,53.8,69.8,61.0,20,1000,dynamic_adaptation
emergency_response,Emergency Response,Energy-Aware Greedy,14.97,748.68,6053.95,0.16,81.05,50.39,0.1103,20.28,-1.71,71.2,66.6,71.2,68.3,20,1000,dynamic_adaptation
emergency_response,Emergency Response,Reward-Aware Proposed,14.95,747.51,5916.25,0.0,81.94,50.39,0.1116,20.94,-2.0,71.6,68.8,71.6,70.6,20,1000,dynamic_adaptation
emergency_response,Emergency Response,Trained PPO Model,109.57,5478.27,2118.78,632.87,76.14,50.77,0.1252,30.9,1.19,73.2,54.1,73.2,63.7,20,1000,dynamic_adaptation
